published_date,compound,neg,neu,pos
2017/12/15,0,0,1,0
2017/12/18,0,0,1,0
2017/12/26,0.4019,0,0.69,0.31
2017/12/27,0,0,1,0
2017/12/29,0,0,1,0
2017/12/30,-0.23835,0.1535,0.8465,0
2017/12/31,-0.109285714,0.092857143,0.871142857,0.036
2018/1/1,-0.14272514,0.181055866,0.730832402,0.088106145
2018/1/2,-0.033895897,0.11037234,0.804171733,0.085445289
2018/1/3,0.00810551,0.092688705,0.81211157,0.095205234
2018/1/4,-0.011256313,0.094137275,0.820001002,0.085855711
2018/1/5,0.019690888,0.076539863,0.831910023,0.09155467
2018/1/6,-0.028430259,0.121818444,0.78578098,0.092377522
2018/1/7,-0.036749237,0.115171756,0.795385496,0.089458015
2018/1/8,0.057148225,0.054864301,0.861443981,0.083691719
2018/1/9,0.029999833,0.066497076,0.846472013,0.087040936
2018/1/10,0.038604339,0.06528972,0.845658211,0.089054072
2018/1/11,0.020618624,0.074647651,0.836424497,0.088917785
2018/1/12,0.041592259,0.067967275,0.838097546,0.093935809
2018/1/13,-0.006293945,0.093871094,0.821748047,0.084386719
2018/1/14,-0.067271698,0.134141509,0.777375,0.088483491
2018/1/15,0.025831639,0.083299928,0.819979241,0.096717251
2018/1/16,0.026217161,0.077235602,0.833783595,0.088988365
2018/1/17,0.020968817,0.076828495,0.835184409,0.087987097
2018/1/18,0.045276,0.067677436,0.835121538,0.097205641
2018/1/19,0.04613579,0.070502186,0.829138039,0.1003604
2018/1/20,-0.048296209,0.101927798,0.828799639,0.069292419
2018/1/21,0.016541958,0.082564103,0.821729604,0.095692308
2018/1/22,0.043832829,0.066803755,0.838493035,0.094700182
2018/1/23,0.052133063,0.06672962,0.832735696,0.100535696
2018/1/24,0.056426087,0.067608696,0.829435818,0.102951346
2018/1/25,0.037767264,0.073711321,0.830178774,0.096110849
2018/1/26,0.03691916,0.081547531,0.814737657,0.103717023
2018/1/27,-0.012604915,0.11792735,0.778876068,0.103232906
2018/1/28,0.01633219,0.115263852,0.76130343,0.123448549
2018/1/29,0.069517113,0.063417928,0.835391735,0.101203725
2018/1/30,0.067526281,0.068726375,0.824318289,0.106954396
2018/1/31,0.071183849,0.064251289,0.831857818,0.103895189
2018/2/1,0.077168221,0.060146319,0.830393233,0.109462277
2018/2/2,0.053336687,0.073440041,0.822985264,0.103576728
2018/2/3,-0.008811739,0.105323913,0.79151087,0.10316087
2018/2/4,-0.024580055,0.120202216,0.779878116,0.099925208
2018/2/5,0.040460625,0.074344152,0.828848132,0.096815064
2018/2/6,0.049509342,0.0707245,0.827994757,0.101282173
2018/2/7,0.062340566,0.062472382,0.837076447,0.100459125
2018/2/8,0.090625694,0.063456679,0.816431498,0.120113956
2018/2/9,0.045659523,0.072978838,0.82514498,0.101878883
2018/2/10,-0.019116952,0.098037671,0.811917808,0.090035959
2018/2/11,0.0088225,0.118027083,0.758258333,0.123708333
2018/2/12,0.064298243,0.065545987,0.827864089,0.106592853
2018/2/13,0.071334283,0.065584773,0.824893508,0.109524988
2018/2/14,0.074677118,0.070567686,0.810024454,0.119412227
2018/2/15,0.063729662,0.072138522,0.810800783,0.117059227
2018/2/16,0.054663267,0.071165973,0.821908429,0.106934443
2018/2/17,-0.000714865,0.106822635,0.785114865,0.10810473
2018/2/18,0.0153358,0.110842482,0.770534606,0.118625298
2018/2/19,0.019770706,0.07957367,0.828764603,0.091666957
2018/2/20,0.056991947,0.066573874,0.830990488,0.102447685
2018/2/21,0.058922703,0.064995625,0.831213418,0.103800194
2018/2/22,0.084175441,0.065007937,0.814714727,0.120279541
2018/2/23,0.054966381,0.073610278,0.820077623,0.10632227
2018/2/24,-0.002787909,0.098388336,0.805423898,0.096201991
2018/2/25,0.005256608,0.084433915,0.82532419,0.090214464
2018/2/26,0.056790725,0.067471215,0.83176226,0.100763859
2018/2/27,0.082090167,0.064561088,0.824354812,0.111089958
2018/2/28,0.07162066,0.062272547,0.83336472,0.10436035
2018/3/1,0.063434573,0.068791247,0.823684902,0.10752779
2018/3/2,0.002983218,0.083274185,0.830930518,0.085795297
2018/3/3,-0.080745229,0.125887405,0.798097328,0.076022901
2018/3/4,0.059219006,0.084952484,0.794440605,0.120600432
2018/3/5,0.051298121,0.070080724,0.831963118,0.097952679
2018/3/6,0.030498075,0.075650623,0.831264439,0.093088335
2018/3/7,-0.000693722,0.092374689,0.813327354,0.094296462
2018/3/8,0.047543594,0.074618118,0.821733233,0.103653654
2018/3/9,0.03344799,0.069650653,0.841003655,0.089348303
2018/3/10,0.025644381,0.083078095,0.81700381,0.099935238
2018/3/11,0.014147436,0.099304487,0.789163462,0.111519231
2018/3/12,-0.008418494,0.099630112,0.808306691,0.092065056
2018/3/13,-0.026863235,0.093743697,0.83079937,0.075451681
2018/3/14,-0.036306336,0.113861751,0.790358295,0.095776498
2018/3/15,-0.042773415,0.115648498,0.79241713,0.091925473
2018/3/16,-0.015946243,0.093919075,0.823492293,0.082598266
2018/3/17,-0.125302959,0.143988166,0.787517751,0.068505917
2018/3/18,-0.096170652,0.134746377,0.787231884,0.078028986
2018/3/19,-0.014312882,0.086151718,0.836167939,0.077679389
2018/3/20,-0.016844925,0.08937594,0.824316729,0.08631109
2018/3/21,-0.018323043,0.098621739,0.815670652,0.08571413
2018/3/22,-0.043550367,0.103612844,0.815306422,0.081094495
2018/3/23,-0.045607728,0.122737705,0.781770492,0.095494145
2018/3/24,-0.07812953,0.136912752,0.776812081,0.086271812
2018/3/25,-0.0477875,0.12305163,0.792855978,0.084092391
2018/3/26,0.030495815,0.085593046,0.814462331,0.099936252
2018/3/27,0.031183467,0.078855779,0.827217085,0.093933166
2018/3/28,0.045931737,0.069597881,0.836795763,0.093604661
2018/3/29,0.050176264,0.072950812,0.828170126,0.098875
2018/3/30,0.009263002,0.088668539,0.822771268,0.088553772
2018/3/31,-0.046530112,0.111174721,0.809921933,0.078899628
2018/4/1,-0.054508667,0.12754,0.783866667,0.08859
2018/4/2,0.047198203,0.069214844,0.840499219,0.090264063
2018/4/3,0.028014586,0.071821793,0.842037457,0.086141884
2018/4/4,0.031618051,0.070530565,0.839126874,0.090342561
2018/4/5,0.013687734,0.088443723,0.816125541,0.095431457
2018/4/6,0.006264374,0.080936803,0.832342627,0.086721809
2018/4/7,-0.053235269,0.112627957,0.807787097,0.079595699
2018/4/8,-0.081849235,0.139563776,0.766729592,0.093711735
2018/4/9,0.023910071,0.08025601,0.824241715,0.095500975
2018/4/10,0.031956504,0.074835366,0.835871951,0.089287602
2018/4/11,-0.001699087,0.087330122,0.8290857,0.083584686
2018/4/12,0.025573973,0.07540411,0.834010763,0.090590509
2018/4/13,0.037412845,0.073068169,0.833218592,0.093720563
2018/4/14,-0.082693929,0.131719643,0.784944643,0.083335714
2018/4/15,0.000757987,0.113146608,0.774667396,0.112190372
2018/4/16,0.01588502,0.080728496,0.828780573,0.09048859
2018/4/17,0.016187513,0.079469929,0.830093782,0.090434251
2018/4/18,0.049515549,0.068784191,0.833910036,0.097304732
2018/4/19,0.050484825,0.074939684,0.819285783,0.105773097
2018/4/20,0.037364297,0.077319718,0.823613717,0.0990706
2018/4/21,-0.029063004,0.107547085,0.806632287,0.085843049
2018/4/22,0.00333913,0.107120205,0.785163683,0.107721228
2018/4/23,-0.020598214,0.094304563,0.820957341,0.084737103
2018/4/24,0.132029117,0.042075179,0.840399761,0.117509547
2018/4/25,0.070354903,0.068066779,0.822696112,0.1092388
2018/4/26,0.100751439,0.060473756,0.819322045,0.12020149
2018/4/27,0.107366484,0.05504776,0.824392646,0.120561708
2018/4/28,-0.004196078,0.092894419,0.813193062,0.093921569
2018/4/29,0.09788156,0.065108747,0.808827423,0.126066194
2018/4/30,0.066076115,0.071476481,0.817037874,0.111485644
2018/5/1,0.068956196,0.064394052,0.824293061,0.111316605
2018/5/2,0.053705906,0.068915239,0.824587917,0.106496844
2018/5/3,0.06807181,0.069151429,0.81587619,0.114981905
2018/5/4,0.062084761,0.07369876,0.812860602,0.113444773
2018/5/5,0.002585366,0.093161863,0.814982262,0.091871397
2018/5/6,-0.015992667,0.111143333,0.78147,0.10738
2018/5/7,0.074142058,0.057734198,0.840735008,0.101532415
2018/5/8,0.042805445,0.079486056,0.810796813,0.1097251
2018/5/9,0.053811706,0.074759004,0.813207627,0.112036017
2018/5/10,0.035412269,0.081853221,0.807745658,0.110411765
2018/5/11,0.038391579,0.083674303,0.803340557,0.112991331
2018/5/12,0.005975795,0.072623675,0.846446996,0.080931095
2018/5/13,0.001902267,0.112239295,0.778486146,0.109264484
2018/5/14,0.000582385,0.085436923,0.825550769,0.089010769
2018/5/15,0.001953041,0.091051239,0.816327703,0.092628378
2018/5/16,0.018274248,0.088439236,0.811688657,0.099872685
2018/5/17,-0.002199871,0.085321337,0.828818123,0.085856684
2018/5/18,0.021115241,0.071530554,0.843913012,0.08455931
2018/5/19,0.065608746,0.065277228,0.830942244,0.103783828
2018/5/20,0.018482813,0.082740625,0.821125,0.096128125
2018/5/21,-0.009075689,0.093612536,0.81282906,0.093558405
2018/5/22,-0.014442363,0.092460375,0.821354467,0.086183718
2018/5/23,0.006909671,0.081150442,0.833396966,0.085451327
2018/5/24,0.001650814,0.088298373,0.819180832,0.092518987
2018/5/25,-0.025190309,0.10622557,0.800535016,0.093241857
2018/5/26,-0.025079899,0.115075377,0.783555276,0.101389447
2018/5/27,0.061378797,0.071012658,0.819857595,0.10914557
2018/5/28,0.059815231,0.073103077,0.815243077,0.111666154
2018/5/29,-0.035568443,0.108245902,0.806478484,0.085275615
2018/5/30,-0.063177411,0.113146744,0.810607585,0.076248969
2018/5/31,-0.025489242,0.101152664,0.812785861,0.086065574
2018/6/1,-0.004489474,0.087052632,0.804921053,0.108
