date,wsj_mean_compound,cnbc_mean_compound,fortune_mean_compound,reuters_mean_compound,Adj Close
2017/12/7,0.296,-0.1366,0,0,2636.97998
2017/12/8,0,0,-0.2423,0,2651.5
2017/12/11,0,0,0,0,2659.98999
2017/12/12,0,0,0,0,2664.110107
2017/12/13,0,0,0,0,2662.850098
2017/12/14,-0.172533333,0,0,0,2652.01001
2017/12/15,-0.1806,0,0,0,2675.810059
2017/12/18,0,0,0,0,2690.159912
2017/12/19,0,0,0,0,2681.469971
2017/12/20,0,0,0,0,2679.25
2017/12/21,0.067433333,0.296,0,0,2684.570068
2017/12/22,0,0,0,0,2683.340088
2017/12/26,0,-0.074766667,0,0.4019,2680.5
2017/12/27,0.34,0.1108,0,0,2682.620117
2017/12/28,0,0,-0.4767,0,2687.540039
2017/12/29,0,0.150366667,0,0,2673.610107
2018/1/2,0.025324,0.076186372,-0.0653,-0.033895897,2695.810059
2018/1/3,0.038129134,0.06871131,0.011434783,0.00810551,2713.060059
2018/1/4,-0.025823776,0.083071983,-0.076933333,-0.011256313,2723.98999
2018/1/5,-0.000632414,0.06152575,0.000582927,0.019690888,2743.149902
2018/1/8,0.037838211,0.083550503,-0.02334902,0.057148225,2747.709961
2018/1/9,-0.002558571,0.054645198,0.028240351,0.029999833,2751.290039
2018/1/10,0.042846,0.052081558,0.070267442,0.038604339,2748.22998
2018/1/11,0.014703676,0.075256332,-0.042692453,0.020618624,2767.560059
2018/1/12,0.012318713,0.08517568,-0.041702273,0.041592259,2786.23999
2018/1/16,-0.008468468,0.070238865,-0.046880556,0.026217161,2776.419922
2018/1/17,-0.022473913,0.09279884,-0.030629508,0.020968817,2802.560059
2018/1/18,0.040940127,0.071475095,0.081360417,0.045276,2798.030029
2018/1/19,-0.028254667,0.065988871,0.032235185,0.04613579,2810.300049
2018/1/22,-0.009804237,0.054583756,0.0362,0.043832829,2832.969971
2018/1/23,0.000848026,0.086015974,0.017955769,0.052133063,2839.129883
2018/1/24,-0.050105625,0.097690304,0.059260465,0.056426087,2837.540039
2018/1/25,0.019749153,0.086756923,-0.04199,0.037767264,2839.25
2018/1/26,-0.06805,0.069941915,0.037142424,0.03691916,2872.870117
2018/1/29,-0.029421277,0.079953626,0.059267568,0.069517113,2853.530029
2018/1/30,0.002312121,0.077099766,0.025,0.067526281,2822.429932
2018/1/31,-0.008100541,0.09107987,0.06845,0.071183849,2823.810059
2018/2/1,0.051785065,0.080252178,-0.001109091,0.077168221,2821.97998
2018/2/2,-0.012406918,0.09790942,-0.025529268,0.053336687,2762.129883
2018/2/5,0.06351619,0.077644213,0.047530303,0.040460625,2648.939941
2018/2/6,0.005496667,0.060828229,-0.067043636,0.049509342,2695.139893
2018/2/7,-0.010790751,0.070519887,0.052924444,0.062340566,2681.659912
2018/2/8,-0.009989881,0.054439768,-0.02169375,0.090625694,2581
2018/2/9,-0.050521875,0.020085062,-0.0032825,0.045659523,2619.550049
2018/2/12,-0.034490741,0.05222487,-0.046244828,0.064298243,2656
2018/2/13,-0.053092908,0.054193699,-0.0148575,0.071334283,2662.939941
2018/2/14,0.031119178,0.057835904,0.023896078,0.074677118,2698.629883
2018/2/15,0.0155875,0.064076029,0.09952037,0.063729662,2731.199951
2018/2/16,0.007175,0.053024963,-0.039884848,0.054663267,2732.219971
2018/2/20,0.003166972,0.069223117,-0.04545814,0.056991947,2716.26001
2018/2/21,-0.006622901,0.068396974,-0.036698113,0.058922703,2701.330078
2018/2/22,0.003268627,0.060440189,0.010463462,0.084175441,2703.959961
2018/2/23,-0.033897143,0.05048169,0.019220408,0.054966381,2747.300049
2018/2/26,0.057954878,0.06400781,-0.005013333,0.056790725,2779.600098
2018/2/27,0.025434532,0.077632534,0.020751667,0.082090167,2744.280029
